,fecha,titulo,volanta,autor,texto,url
0,,,"
El presidente dijo que Donald Trump le contestó que lo consultaría con el equipo que abastece estos insumos y que hoy por la tarde tendría una respuesta ",,,https://www.eluniversal.com.mx/nacion
1,09/04/2020,"

Falso, supuesto ""toque de queda” por coronavirus: Presidencia

","
El coordinador de Comunicación Social de Presidencia, Jesús Ramírez Cuevas, pidió a toda la población no dejarse engañar con ese tipo de noticias falsas ",,"
El Gobierno de México señaló que es falso un mensaje que circula por redes sociales en el cual se señala que habrá un “toque de queda” a partir del 10 de abril y que éste durará 96 horas.
El coordinador de Comunicación Social de Presidencia, Jesús Ramírez Cuevas, pidió a toda la población no dejarse engañar con ese tipo de noticias falsas.
“El @GobiernoMX respeta irrestrictamente las libertades democráticas y los derechos humanos, por lo que, a pesar de la #EmergenciaSanitaria, no dictará medidas coercitivas ni declarará Estado de excepción”. 
El vocero de Presidencia de la República señaló que cualquier versión que contradiga esta disposición es falsa. “No te dejes engañar”.
En redes, circula un mensaje con los colores y logotipos del Gobierno de México, Secretaría de Salud y del Centro de Producción de Programas Informativos y Especiales (CEPROPIE) que para “evitar el ascendente contagio” de casos de coronavirus habrá un toque de queda, lo cual es falso.
 

El @GobiernoMX respeta irrestrictamente las libertades democráticas y los derechos humanos, por lo que, a pesar de la #EmergenciaSanitaria, no dictará medidas coercitivas ni declarará Estado de excepción. Toda versión que contradiga esta disposición es falsa. No te dejes engañar. pic.twitter.com/MghVh2YvJK
 — Jesús Ramírez Cuevas (@JesusRCuevas) April 9, 2020

rmlgv
",https://www.eluniversal.com.mx/nacion/coronavirus-falso-toque-de-queda-partir-del-10-de-abril-presidencia
2,03/04/2020,"

Trabajadoras sexuales, sin casa ni trabajo por Covid-19

","
“Fuera de servicio hasta nuevo aviso” o “cerrado por contingencia"", son algunos letreros que las trabajadoras sexuales han visto en hoteles de la CDMX. EL UNIVERSAL entrevistó a dos de ellas ",Janet Mérida,"
Este viernes, las entradas de los hoteles en la colonia Obrera anunciaban, con letreros hechos a mano, que estaban “Fuera de servicio hasta nuevo aviso” o “Cerrado por contingencia”.
A Debora Gadalmez la sacudió ese anuncio un día antes, cuando le pidieron que dejara su habitación en un hotel de esa zona que ha sido su casa por mucho tiempo. Ella, trabajadora sexual trans originaria de Veracruz, se quedó sin casa de un día para otro, sin clientes ni un lugar en dónde realizar su trabajo a causa del Covid-19.
El pasado 2 de abril, Braulio Asuaga, presidente del Consejo Nacional Empresarial Turístico (CNET) dijo que se habían cerrado mil 100 hoteles en la CDMX por este virus que golpea el país, pero que la orden era cerrarlos todos. Unos días antes, el 30 de marzo, se declaró emergencia sanitaria por causa de fuerza mayor y se ordenó la suspensión de actividades no esenciales hasta el 30 de abril.
“Vivía aquí en el hotel pero por la situación del gobierno nos corrieron a todas, porque no quieren tener a nadie en lugares cerrados y pues estoy en situación de calle ahorita, nos avisaron de un día para otro y ese mismo día nos corrieron del hotel. Me quedé con una amiga en su casa pero ¿qué vamos a hacer? porque nosotras nos mantenemos al día, de sexoservidoras”, comentó Debora.
La única persona a la que Debora ha recurrido es Érika Ivonne, presidenta de la asociación Agenda Nacional Política Trans de México. Mientras platica con la prensa su teléfono no deja de sonar con llamadas o mensajes de alrededor de 200 trabajadoras sexuales que tampoco saben qué hacer y que piden su ayuda.
“Como asociación estamos al pie del cañón con las compañeras, las estamos tratando de ayudar, de conseguirles dónde quedarse, refugiarse, buscando que si las delegaciones pueden poner un albergue, que sea algo digno como personas y seres humanos que somos y que se nos dé un trato como a cualquiera, no queremos un trato de reinas, simplemente un trato de personas, digno, que tengamos una ayuda relacionada con esto”, señala Érika.
Hasta ahora han entablado diálogo con Geraldina González, titular de Copred (Consejo para Prevenir y Eliminar la Discriminación de la Ciudad de México), quien les ofreció la posibilidad de hablar con algunos hoteleros para que no las saquen, pero aunque les permitan quedarse, Érika sabe que sus compañeras no tienen con qué pagar esa estancia, muchas ni siquiera tienen para comer.
“Lo que estamos pidiendo es algo económico con lo que se nos pudiera apoyar, no son millones de pesos, es un caso pequeño, ojalá que las pudieran ayudar económicamente para que si las muchachas lo deciden, con ese dinero les pueda alcanzar para viajar a sus estados; y otra es que nosotras como asociación le pediríamos a la comunidad, a la sociedad, que si tienen un lugar donde las puedan acoger, un cuartito... no somos mal agradecidas, si nos llega este apoyo, con ese recurso le damos apoyo a las personas que no tienen albergue”.
Como Debora, las otras trabajadoras sexuales tuvieron que buscar opciones, pero no todas las tienen, especialmente porque vienen de provincia.
“Aquí en este hotel nada más son quince (las mujeres que se han quedado sin casa), pero en varios hoteles hay más, hay treinta, cuarenta, muchas chicas que vienen de provincia que no tienen ni dónde estar, yo tengo la fortuna de tener amigas, pero las chicas que ni eso se van a quedar tiradas en un puente, tiradas como vagabundas”, agregó Debora, quien se ha dedicado al trabajo sexual por alrededor de 15 años. Como a muchas, el dedicarse a esto la alejó de su familia, por lo que tampoco puede recurrir a ellos.
En opinión de Érika, este es el momento de apoyar a un sector que ha sido ignorado y discriminado.
“Es algo que nos lo deben porque no nos han tomado en cuenta nunca en nada, nunca hemos tenido un apoyo de nada, tienen una deuda histórica con el trabajo sexual”, enfatizó.
Junto al letrero de cerrado y en medio de una pandemia que le ha quitado todo, Debora no pierde la esperanza de que ella y sus compañeras puedan ser apoyadas.
“Pido por favor un apoyo para las chicas trans y para las activistas, para que nosotras estemos bien, las que no tenemos familia, para no estar en la calle, que volteen a vernos, que volteen a ver a las chicas”. 
",https://www.eluniversal.com.mx/nacion/sociedad/coronavirus-trabajadoras-sexuales-sin-casa-ni-trabajo-por-covid-19
3,09/04/2020,"

AMLO dice que envió listado al CCE de los 15 grandes deudores de la hacienda pública

","
Andrés Manuel López Obrador, presidente de México, destaca que con los 50 mil millones de pesos se podrían comprar 40 mil ventiladores para enfrentar el Covid-19 ",Pedro Villa y Caña y Alberto Morales,"
Como había anunciado ayer, Andrés Manuel López Obrador informó que ya envió a Carlos Salazar Lomelín, presidente del Consejo Coordinador Empresarial (CCE), la carta con la lista de las 15 empresas que deben a la hacienda pública 50 mil millones de pesos, y expresó que espera que el líder empresarial lo ayude a exhortar a los dueños de estas empresas a que paguen. 
En conferencia de prensa en Palacio Nacional, el mandatario comentó que en caso de que estos empresarios pagaran este monto, se podrían comprar 40 mil ventiladores y demás insumos médicos para ser usados para enfrentar la contingencia del Covid-19. 
“Ya le mandé el oficio al presidente del CCE con los 15 grandes empresarios, las 15 grandes corporaciones que le deben a la hacienda pública y que tienen para pagar, que deben incluidas multas y recargos, 50 mil millones de pesos, y ayer dije que no solo por cuestiones legales, sino por cuestiones de dignidad, no iba dar yo a conocer los nombres, pero ya las tiene con las cantidades el presidente del CCE"", dijo.
También lee: “Créditos a la palabra, a un millón de Pymes”
 “A lo mejor él si la va a dar a conocer, yo no puedo. Lo que hice fue dictar el oficio, poner el anexo con los 15 y procurar entregar en mano y de manera segura para que, en una de esas, nos ayude a cobrar”. 
Señaló que si los empresarios pagan la mitad de esta deuda se pondrían adquirir 20 mil ventiladores, y si se pagara la totalidad serían 40 mil ventiladores, “y nos alcanzaría hasta para comprar cubrebocas, caretas, y para todo”, y en vez de entregar un millón de créditos para pequeñas empresas serían 3 millones de créditos. 
“Hago el compromiso de que ese dinero sería para las Pymes, pequeños negocios, tanto de la economía formal, como de la economía informal, sería una contribución extraordinaria del CCE, el que nos ayuden a cobrar, eso sería un ejemplo a nivel mundial de apoyo, de solidaridad”. 
“Por eso, que quede claro, el principal problema de México era la corrupción, lo que pasa es que no se le daba importancia, se pensaba que era una cuestión de nuestras cultural, llego alguien a decir, una alta autoridad, haya hasta mero arriba, en le pináculo, de que la corrupción era parte de la cultura de México”.
 
",https://www.eluniversal.com.mx/nacion/la-mananera-amlo-envio-listado-al-cce-de-los-15-deudores-de-la-hacienda-publica
4,09/04/2020,"

Dialogan autoridades sobre cierre de destinos turísticos por Covid-19 

","
Por tercer día consecutivo, funcionarios federales se reunieron con mandatarios estatales y el tema vacacional fue uno de los principales en la agenda de este día ",Alexis Ortiz,"
Representantes del gobierno federal se reunieron esta mañana con 10 gobernadores de la zona Sur y Sureste del país, a quienes se pidió que exhorten a la población mantenerse en su casa durante este periodo vacacional de Semana Santa por el coronavirus.
Por tercer día consecutivo, funcionarios federales se reunieron con mandatarios estatales y el tema vacacional fue uno de los principales en la agenda de este día. En este sentido, los gobernadores presentaron información sobre el cierre de lugares turísticos y playas.
En el encuentro participaron los gobernadores de Campeche, Colima, Chiapas, Guerrero, Michoacán, Oaxaca, Quintana Roo, Tabasco, Veracruz y Yucatán.
También lee: Funcionaria de Zapopan arremete contra vacacionistas 
Por parte del gobierno federal estuvo Olga Sánchez Cordero, secretaria de Gobernación; Ricardo Peralta, subsecretario de Gobierno; Hugo López-Gatell, subsecretario de Prevención y Promoción de la Salud, entre otros.
En el encuentro, que acabó alrededor de las 11 de la mañana, también se habló sobre los insumos que hacen falta para atender el coronavirus, el reporte de casos y la designación de un enlace permanente ante el gobierno federal.
Esta fue la última reunión de la semana que funcionarios federales tienen con gobernadores y aún no se tiene fecha y hora para los encuentros que podrían ocurrir en el futuro.
",https://www.eluniversal.com.mx/nacion/coronavirus-en-mexico-dialogan-sobre-cierre-de-destinos-turisticos-por-covid-19
5,,,,,,https://www.eluniversalvideo.com.mx/videos/v_KSsn_caTpEw.html
6,10/04/2020,"

Se espera esta noche segundo vuelo procedente de China para recibir equipo médico

","
En esta ocasión el cargamento contiene 1.9 millones de cubrebocas y 820 mil mascarillas que llegarán procedentes de Shanghai ",Ariadna García,"
Esta noche estaría llegando el segundo vuelo de puente aéreo con una carga de insumos médicos que el gobierno mexicano adquirió en China pars hacer frente al coronavirus.
En esta ocasión el cargamento contiene 1.9 millones de cubrebocas y 820 mil mascarillas que llegarán procedentes de Shanghai. 
“Concluyó proceso de carga de cubrebocas y mascarillas en Shangai, 1.9 millones y 820 mil respectivamente.Este segundo vuelo del puente aéreo establecido con Aeroméxico arriba a las 21:27 a la Ciudad de México. El equipo será distribuido durante el fin de semana”, escribió el secretario de Relaciones Exteriores, Marcelo Ebrard, en su cuenta de Twitter. 

Concluyó proceso de carga de cubrebocas y mascarillas en Shangai, 1.9 millones y 820 mil respectivamente.Este segundo vuelo del puente aéreo establecido con Aeroméxico arriba a las 21:27 a la Ciudad de México. El equipo será distribuido durante el fin de semana. pic.twitter.com/pJmSA0YIDQ
 — Marcelo Ebrard C. (@m_ebrard) April 10, 2020

Apenas el martes pasado llegó el primer cargamento de guantes, mascarillas, cubrebocas, que se adquirieron en el país asiático para dotar de material a personal de salud que hacen frente a la pandemia de Covid-19.
También lee: Llegan de China 10 toneladas de mascarillas y guantes
",https://www.eluniversal.com.mx/nacion/coronavirus-se-espera-esta-noche-segundo-puente-aereo-con-china
7,31/03/2020,"

México recibe de China 50 mil kits de prueba para detectar Covid-19

","
Las donaciones llegaron en la madrugada de este 31 de marzo al Aeropuerto Internacional de la Ciudad de México ",Ariadna García,"
Read in English
El gobierno de México recibió de la Fundación JackMa y la Fundación Alibaba una donación de 100 mil mascarillas, cinco respiradores y 50 mil kits de prueba para detectar Covid-19.
El Centro Cultural de China en México dio a concocer que las donaciones llegaron en la madrugada de este 31 de marzo, al Aeropuerto Internacional de la Ciudad de México (AICM).
“Representantes de la Secretaría de Relaciones Exteriores de México, la Secretaría de Salud y la Aduana, recibieron los materiales en el Aeropuerto”, informó el Centro Cultural de China.
El secretario de Salud, Jorge Alcocer, decidió que la recepción de este equipo donado quedaría a cargo del Instituto de Salud para el Bienestar.
También lee: Repartirán kits con gel antibacterial y cubrebocas 
Añadió que el jefe de coordinación de donaciones del Departamento de Derechos Humanos y Democracia de la Secretaría de Relaciones Exteriores de México, dijo que China y México sostienen una asociación estratégica integral. 

“En estos momentos, en que la nueva epidemia de Covid-19 se extiende a nivel mundial, las empresas chinas han donado generosamente algunos suministros a México, gesto que ha sido reconocido por la comunidad mexicana”, mencionó el Centro.
rmlgv
",https://www.eluniversal.com.mx/nacion/coronavirus-mexico-recibe-de-china-50-mil-kits-de-prueba-para-detectar-covid-19
8,,,,,,https://www.eluniversalvideo.com.mx/videos/v_WwjeQL0kfYM.html
9,20/03/2020,"

Presenta la 4T al personaje ""Susana Distancia"" contra el coronavirus

","
Ataviada con colores azul y rosa, así como un escudo donde se lee ""SD"", autoridades de Salud presentaron a la ""heroína"" que busca hacer conciencia de la ""sana distancia"" entre personas para evitar contagios ",Redacción,"
En su corte informativo de este viernes 20 de marzo sobre el avance del Covid-19 en México, autoridades de Salud presentaron al personaje ""Susana Distancia"", una heroína con un juego de palabras sobre la ""sana distancia"" entre personas para evitar contagios. 
La imagen no tardó en hacerse viral en redes sociales y convertirse en tendencia en Twitter, generando todo tipo de comentarios.
Ricardo Cortés Alcalá, director general de promoción de la Salud, fue quien presentó al personaje animado, una mujer con ropa en colores azul y rosa, y con un escudo en el pecho y la frente con las siglas ""SD"".
Explicó que se busca hacer conciencia en los niños para enseñar ""cuál es nuestro espacio, cuál es la sana distancia que debemos de tener, y si nosotros estamos en un espacio físico con muchas personas, ese espacio es el que se hace entre dos personas a la hora de extender nuestros brazos"".
Estas medidas sociales, se explicó, ""buscan reducir la frecuencia de contacto entre las personas para disminuir el riesgo de propagación de enfermedades transmisibles"", tal como es el Covid-19.
Detallaron que se sugieren distancias de 1.50, 1.80, 1.95 y 2.25 metros, de acuerdo al escenario. 
En esta misma conferencia, la Secretaría de Salud informó que en México hay 203 casos de coronavirus confirmados, además de otros 606 casos sospechosos. Asimismo, confirmaron el segundo fallecido por Covid-19. 
 
rcr
",https://www.eluniversal.com.mx/nacion/seguridad/presenta-la-4t-al-personaje-susana-distancia-contra-el-coronavirus
